data,ttp,time_windows,intent,method,algorithm,model,max_depth_vp,learning_rate,n_estimators_vp,min_child_weight_vp,accuracy,precision,recall,f1_score
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,41,79,0.01,50,50,0.8932,0.9275,0.9216,0.9245
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,42,10,0.01,20,50,0.8854,0.9599,0.9417,0.9507
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,43,200,0.02,100,9,0.8167,0.886,0.882,0.884
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,44,79,0.01,20,9,0.8536,0.8988,0.8504,0.8739
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,45,79,0.02,50,10,0.8332,0.8754,0.8761,0.8757
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,46,200,0.1,49,9,0.8104,0.8828,0.8727,0.8777
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,47,200,0.02,20,9,0.8488,0.924,0.8831,0.9031
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,48,200,0.01,100,50,0.8275,0.8713,0.8536,0.8624
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,49,10,0.02,50,9,0.8467,0.918,0.8359,0.875
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,50,10,0.1,20,9,0.8625,0.8925,0.9086,0.9005
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,51,10,0.02,100,10,0.834,0.8981,0.8695,0.8836
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,52,79,0.01,50,10,0.8405,0.9202,0.8592,0.8887
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,53,79,0.1,100,2,0.8578,0.9339,0.8641,0.8976
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,54,79,0.01,20,50,0.8523,0.897,0.8367,0.8658
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,55,79,0.01,49,10,0.8117,0.8667,0.8274,0.8466
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,56,200,0.1,20,2,0.8234,0.8713,0.8177,0.8436
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,57,79,0.1,49,50,0.8699,0.9152,0.9414,0.9281
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,58,200,0.1,49,9,0.8801,0.9416,0.9153,0.9283
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,59,200,0.01,20,2,0.813,0.8761,0.8097,0.8416
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,60,10,0.01,50,2,0.8099,0.8811,0.8569,0.8688
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,61,200,0.02,100,50,0.8833,0.9173,0.938,0.9275
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,62,10,0.02,50,2,0.8051,0.8398,0.8128,0.8261
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,63,200,0.02,49,9,0.897,0.9571,0.938,0.9475
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,64,79,0.01,100,10,0.8666,0.9163,0.8494,0.8816
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,65,200,0.02,20,9,0.8547,0.904,0.9149,0.9094
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,66,200,0.02,100,2,0.861,0.925,0.8591,0.8908
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,67,200,0.01,20,9,0.8807,0.9592,0.8816,0.9188
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,68,200,0.01,20,50,0.8378,0.8756,0.9068,0.8909
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,69,79,0.02,49,50,0.836,0.8731,0.8478,0.8603
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,70,10,0.02,50,2,0.8194,0.8712,0.8121,0.8406
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,71,10,0.02,20,2,0.8328,0.908,0.8434,0.8745
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,72,10,0.02,50,10,0.8418,0.8904,0.8808,0.8856
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,73,200,0.01,50,2,0.8461,0.8871,0.8543,0.8704
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,74,10,0.1,20,9,0.851,0.904,0.8956,0.8998
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,75,200,0.02,50,50,0.8738,0.9476,0.8549,0.8989
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,76,79,0.02,49,9,0.8876,0.9433,0.9565,0.9499
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,77,10,0.1,100,2,0.8842,0.9507,0.9548,0.9527
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,78,10,0.1,20,2,0.8212,0.8728,0.8547,0.8637
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,79,10,0.1,49,10,0.891,0.9585,0.8797,0.9174
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,80,200,0.1,50,50,0.8468,0.8973,0.911,0.9041
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,81,10,0.01,100,2,0.8462,0.8968,0.8976,0.8972
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,82,79,0.02,49,2,0.8374,0.881,0.8317,0.8556
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,83,200,0.02,49,2,0.8671,0.9413,0.8769,0.908
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,84,200,0.02,20,9,0.8088,0.8851,0.8857,0.8854
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,85,79,0.1,50,2,0.8482,0.8819,0.8405,0.8607
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,86,79,0.02,50,2,0.8192,0.8518,0.8251,0.8382
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,87,10,0.1,100,10,0.8475,0.8812,0.8392,0.8597
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,88,79,0.01,20,10,0.8685,0.9147,0.9116,0.9131
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,89,79,0.02,20,50,0.8652,0.9389,0.8566,0.8959
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,90,200,0.01,49,2,0.8979,0.9598,0.9723,0.966
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,91,200,0.1,50,50,0.8686,0.9456,0.9277,0.9366
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,92,79,0.01,100,9,0.8422,0.8871,0.9202,0.9033
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,93,79,0.01,50,50,0.8118,0.885,0.8782,0.8816
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,94,79,0.1,100,9,0.8937,0.9469,0.8838,0.9143
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,95,200,0.01,20,9,0.834,0.8904,0.9127,0.9014
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,96,200,0.1,49,50,0.8299,0.8881,0.88,0.884
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,97,200,0.02,49,2,0.8178,0.8672,0.8412,0.854
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,98,200,0.01,100,50,0.8525,0.9039,0.9,0.9019
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,99,79,0.02,100,9,0.8968,0.971,0.8769,0.9216
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,100,200,0.1,20,9,0.8949,0.9561,0.9622,0.9591
