data,domain,intent,method,algorithm,model,optimizer,loss,scheduler,initial.lr,tile_size,overlap,batch_size,pu,accuracy,precision,recall,csi,mse,inference_time,feedback
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN20,Adam,MSE Weighted,reduce_plateau,0.001,256,0,4,GPU,0.9673,0.8927,0.8368,0.8016,0.0024,0.8,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN21,Adam,MSE Weighted,reduce_plateau,0.001,512,15,1,GPU,0.9785,0.905,0.8508,0.8334,0.0014,1.12,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN22,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9665,0.8812,0.893,0.8716,0.0009,0.95,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN23,Adam,MSE Weighted,reduce_plateau,0.01,512,0,1,GPU,0.9617,0.8854,0.8857,0.8664,0.0007,1.09,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN24,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9355,0.8855,0.8075,0.8004,0.0019,0.91,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN25,Adam,MSE Weighted,reduce_plateau,0.001,256,0,4,GPU,0.9734,0.9099,0.8441,0.8099,0.0021,0.99,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN26,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.9769,0.9183,0.8455,0.8363,0.0007,1.13,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN27,Adam,MSE Weighted,reduce_plateau,0.001,256,15,1,GPU,0.9714,0.908,0.8978,0.8579,0.0024,0.49,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN28,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9352,0.8803,0.8535,0.815,0.0042,0.89,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN29,Adam,MSE Weighted,reduce_plateau,0.001,256,15,1,GPU,0.9415,0.8813,0.8209,0.8058,0.0053,0.84,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN30,Adam,MSE Weighted,reduce_plateau,0.001,256,0,1,GPU,0.9683,0.8969,0.8919,0.8488,0.0029,0.96,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN31,Adam,MSE Weighted,reduce_plateau,0.01,256,0,1,GPU,0.9508,0.8748,0.8344,0.8192,0.0053,0.92,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN32,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9738,0.9225,0.8545,0.8162,0.001,1.38,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN33,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.9477,0.8882,0.8434,0.8281,0.0035,0.81,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN34,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9441,0.8478,0.8128,0.7718,0.0033,0.75,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN35,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9325,0.8384,0.8258,0.8053,0.0027,1.11,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN36,Adam,MSE Weighted,reduce_plateau,0.001,512,0,1,GPU,0.9779,0.8806,0.8285,0.7857,0.0025,0.79,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN37,Adam,MSE Weighted,reduce_plateau,0.01,256,0,4,GPU,0.9487,0.8944,0.8474,0.8388,0.0042,0.9,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN38,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9626,0.8654,0.8407,0.8144,0.0013,1.15,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN39,Adam,MSE Weighted,reduce_plateau,0.01,512,15,4,GPU,0.9368,0.8685,0.8211,0.8122,0.0048,1.35,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN40,Adam,MSE Weighted,reduce_plateau,0.01,256,15,1,GPU,0.9559,0.8911,0.8639,0.8412,0.0035,0.66,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN41,Adam,MSE Weighted,reduce_plateau,0.001,256,15,4,GPU,0.9452,0.8674,0.8021,0.7919,0.0024,0.61,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN42,Adam,MSE Weighted,reduce_plateau,0.001,256,15,4,GPU,0.9573,0.8924,0.8733,0.8517,0.0036,0.97,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN43,Adam,MSE Weighted,reduce_plateau,0.01,512,0,1,GPU,0.945,0.8932,0.8112,0.8073,0.004,0.89,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN44,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9638,0.8665,0.8608,0.8237,0.0008,1.02,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN45,Adam,MSE Weighted,reduce_plateau,0.001,256,0,4,GPU,0.9316,0.8438,0.8407,0.831,0.0059,0.61,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN46,Adam,MSE Weighted,reduce_plateau,0.001,512,15,1,GPU,0.9566,0.8706,0.8101,0.7632,0.0009,1.16,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN47,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9363,0.8786,0.83,0.8019,0.0012,0.86,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN48,Adam,MSE Weighted,reduce_plateau,0.01,256,15,1,GPU,0.9778,0.9161,0.881,0.8512,0.0021,0.54,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN49,Adam,MSE Weighted,reduce_plateau,0.01,256,0,4,GPU,0.9571,0.8884,0.8472,0.846,0.0029,1.02,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN50,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.978,0.9217,0.89,0.8817,0.0032,1,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN51,Adam,MSE Weighted,reduce_plateau,0.001,256,15,1,GPU,0.9568,0.9061,0.8401,0.8022,0.0043,0.56,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN52,Adam,MSE Weighted,reduce_plateau,0.001,256,0,4,GPU,0.9679,0.9114,0.8888,0.8639,0.0025,0.91,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN53,Adam,MSE Weighted,reduce_plateau,0.001,512,0,1,GPU,0.9768,0.8855,0.8622,0.8384,0.0028,1.12,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN54,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9322,0.8454,0.8133,0.7997,0.0033,0.89,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN55,Adam,MSE Weighted,reduce_plateau,0.01,256,0,1,GPU,0.9356,0.8659,0.7966,0.7939,0.0017,0.62,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN56,Adam,MSE Weighted,reduce_plateau,0.001,256,15,1,GPU,0.9347,0.8352,0.8499,0.8361,0.0039,0.57,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN57,Adam,MSE Weighted,reduce_plateau,0.01,256,0,4,GPU,0.9419,0.8685,0.8246,0.8096,0.0032,0.63,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN58,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9787,0.8835,0.8572,0.8512,0.003,0.87,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN59,Adam,MSE Weighted,reduce_plateau,0.001,256,15,1,GPU,0.9665,0.8771,0.8776,0.8558,0.0041,0.95,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN60,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.94,0.8708,0.8537,0.8528,0.0058,0.82,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN61,Adam,MSE Weighted,reduce_plateau,0.01,512,0,4,GPU,0.9678,0.8824,0.8411,0.8014,0.003,0.86,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN62,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.9726,0.893,0.8906,0.8818,0.0018,1.13,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN63,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.9383,0.8677,0.8612,0.8223,0.0035,1,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN64,Adam,MSE Weighted,reduce_plateau,0.01,512,15,4,GPU,0.9446,0.8834,0.8012,0.756,0.0009,1.22,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN65,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9358,0.8579,0.8081,0.7812,0.0026,0.73,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN66,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9487,0.8901,0.814,0.7833,0.0039,0.89,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN67,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9561,0.8976,0.8677,0.8179,0.0025,0.76,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN68,Adam,MSE Weighted,reduce_plateau,0.001,256,0,1,GPU,0.9533,0.892,0.8304,0.8061,0.0032,0.84,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN69,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.9745,0.9068,0.8409,0.7943,0.0032,0.75,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN70,Adam,MSE Weighted,reduce_plateau,0.01,512,0,4,GPU,0.9444,0.8713,0.8637,0.8607,0.0052,0.87,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN71,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9492,0.8973,0.8485,0.8,0.0032,1.4,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN72,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9487,0.8613,0.8455,0.8174,0.0013,1.13,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN73,Adam,MSE Weighted,reduce_plateau,0.001,256,15,1,GPU,0.9619,0.9034,0.8894,0.874,0.0015,0.71,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN74,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9313,0.8532,0.7829,0.7671,0.0065,0.88,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN75,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9787,0.9033,0.8296,0.8027,0.003,1,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN76,Adam,MSE Weighted,reduce_plateau,0.001,256,0,4,GPU,0.9796,0.9203,0.8809,0.8665,0.0021,0.78,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN77,Adam,MSE Weighted,reduce_plateau,0.001,256,15,4,GPU,0.9614,0.9107,0.8534,0.823,0.0017,1.06,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN78,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9552,0.8598,0.8523,0.8182,0.0052,1.1,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN79,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9728,0.8876,0.84,0.8154,0.0021,0.86,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN80,Adam,MSE Weighted,reduce_plateau,0.001,512,0,1,GPU,0.9328,0.8367,0.8144,0.8118,0.0045,0.89,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN81,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9534,0.8535,0.8762,0.8461,0.0008,1.39,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN82,Adam,MSE Weighted,reduce_plateau,0.001,256,15,4,GPU,0.9373,0.8811,0.7975,0.7768,0.0062,1.02,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN83,Adam,MSE Weighted,reduce_plateau,0.01,512,15,4,GPU,0.9633,0.8729,0.8925,0.8527,0.001,0.99,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN84,Adam,MSE Weighted,reduce_plateau,0.001,256,0,1,GPU,0.936,0.8375,0.8347,0.7935,0.0032,0.88,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN85,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9785,0.8805,0.8925,0.8547,0.0018,0.66,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN86,Adam,MSE Weighted,reduce_plateau,0.001,512,0,1,GPU,0.9543,0.865,0.8706,0.8394,0.0029,1.2,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN87,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.9647,0.8999,0.8879,0.8576,0.0033,1.12,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN88,Adam,MSE Weighted,reduce_plateau,0.001,256,15,4,GPU,0.9382,0.8516,0.7905,0.7806,0.006,0.88,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN89,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9672,0.8791,0.8799,0.837,0.0017,0.99,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN90,Adam,MSE Weighted,reduce_plateau,0.001,256,0,4,GPU,0.9317,0.8534,0.8284,0.8068,0.0016,0.89,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN91,Adam,MSE Weighted,reduce_plateau,0.001,256,15,1,GPU,0.98,0.905,0.8481,0.8439,0.0022,0.87,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN92,Adam,MSE Weighted,reduce_plateau,0.001,512,15,1,GPU,0.9421,0.867,0.8219,0.8109,0.0041,0.88,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN93,Adam,MSE Weighted,reduce_plateau,0.01,256,15,1,GPU,0.933,0.8614,0.8319,0.8149,0.0062,0.48,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN94,Adam,MSE Weighted,reduce_plateau,0.01,512,15,4,GPU,0.9529,0.8568,0.8164,0.7768,0.0025,1.03,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN95,Adam,MSE Weighted,reduce_plateau,0.001,512,0,4,GPU,0.9426,0.8615,0.8469,0.8421,0.0014,1.14,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN96,Adam,MSE Weighted,reduce_plateau,0.01,256,15,1,GPU,0.9726,0.8952,0.8415,0.7949,0.0022,0.94,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN97,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9355,0.8452,0.8127,0.779,0.0041,1.37,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN98,Adam,MSE Weighted,reduce_plateau,0.001,256,0,4,GPU,0.9572,0.9067,0.88,0.8639,0.0047,0.75,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN99,Adam,MSE Weighted,reduce_plateau,0.001,512,15,4,GPU,0.9766,0.8861,0.9036,0.8784,0.0032,0.89,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN100,Adam,MSE Weighted,reduce_plateau,0.001,512,0,1,GPU,0.9495,0.8643,0.8252,0.8112,0.0015,0.71,8
