domain,intent,algorithm,model,trigger_type,trigger_points,trigger_time_window,trigger_stationary,trigger_safety_net_hours,accuracy,segment_count_diff,mode_label_similarity,structural_similarity_score,runtime_per_user_day_sec
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger105,time_window,,105,,,94.5448113035416,1,0.95,0.96,21.220242987798
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger93,time_window,,93,,,93.6324521152615,1,0.854431596643145,0.96,21.598110679407
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger46,time_window,,46,,,90.5604585843529,4,0.755486439022045,0.751015870025544,22.9874566165289
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger110,time_window,,110,,,95.0283185625877,1,0.95,0.96,21.7130094554674
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary32,stationary,,,32,,94.9277822254029,1,0.934556833575843,0.941446100257814,20.6028260800194
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary20,stationary,,,20,,94.3901345957917,2,0.914801489833749,0.944503058504468,20.9305098271041
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary34,stationary,,,34,,95.3816738933658,2,0.901004200761826,0.953116482618187,21.2440397385946
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary43,stationary,,,43,,96.1074352844209,1,0.938124204199355,0.952374557560988,20.3602585109312
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary23,stationary,,,23,,94.8426944888118,2,0.926353615929005,0.964062027627823,21.2446757321943
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary5,stationary,,,5,,93.3348496280205,2,0.897498196538888,0.939098343862885,22.1291260027694
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary54,stationary,,,54,,96.9900053418176,1,0.932779147631997,0.947899096992044,20.2782801409962
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary16,stationary,,,16,,93.6026089404634,2,0.903132231735379,0.927127062606414,21.5574999272357
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary50,stationary,,,50,,95.8638335832724,1,0.951130028032983,0.958009532070563,19.9603938459852
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary33,stationary,,,33,,95.2222432600548,2,0.903791051374842,0.95754452379095,20.4853474649938
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary27,stationary,,,27,,94.3516817211686,2,0.914031756080505,0.95347149507491,21.3260913337227
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary56,stationary,,,56,,97.2091854127959,1,0.932147823647062,0.98,19.9041655845954
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary14,stationary,,,14,,93.872304754039,2,0.875267537170773,0.959332420733896,21.8693134538455
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary19,stationary,,,19,,94.4626408727604,2,0.887664716003542,0.923021852133554,21.1169095648313
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary52,stationary,,,52,,96.5158933313728,1,0.945009868835887,0.955596694847297,20.7215319473299
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary11,stationary,,,11,,93.9712302500291,2,0.901586037311718,0.929780003121389,21.3810643228345
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary10,stationary,,,10,,93.5226393453179,2,0.870719674431488,0.913803632025346,21.2126693086884
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary30,stationary,,,30,,94.540728802319,2,0.925182892969001,0.947708691454366,20.597834160651
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary45,stationary,,,45,,95.9916158751168,1,0.913660093495501,0.957692582461899,20.3985047343974
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary28,stationary,,,28,,94.9825167647189,2,0.890265200488602,0.941130630731323,21.1925265823809
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary41,stationary,,,41,,95.7364695919134,1,0.933934681580947,0.940946721354072,20.2039020807338
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary22,stationary,,,22,,94.609085944873,1,0.911288779063673,0.964611512071248,21.3421408445425
mobility,semi live processing,DBSCAN and rule-based mode inference,safety3,safety_net,,,,3,94.1381699262065,2,0.914912644524576,0.956280839465797,22.0148788852659
mobility,semi live processing,DBSCAN and rule-based mode inference,safety17,safety_net,,,,17,97.6361026378008,1,0.98,0.980789556739465,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety20,safety_net,,,,20,98,1,0.964722148037796,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety5,safety_net,,,,5,94.5689756302938,2,0.901163596786791,0.975723424129447,21.119112864864
mobility,semi live processing,DBSCAN and rule-based mode inference,safety15,safety_net,,,,15,96.8681648276217,1,0.971447142338994,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety4,safety_net,,,,4,94.8034809303849,2,0.904871977188986,0.969530737582043,21.6841008435604
mobility,semi live processing,DBSCAN and rule-based mode inference,safety12,safety_net,,,,12,96.9905051420007,1,0.946600904289639,0.99,19.4044821241518
mobility,semi live processing,DBSCAN and rule-based mode inference,safety16,safety_net,,,,16,97.9307573256036,1,0.965449701368751,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety13,safety_net,,,,13,96.3531238688359,1,0.957262618622393,0.99,19.1420297606184
mobility,semi live processing,DBSCAN and rule-based mode inference,safety18,safety_net,,,,18,98,1,0.952541882574015,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety8,safety_net,,,,8,95.3193136375904,1,0.959530357346878,0.972671894406164,20.5791023273019
mobility,semi live processing,DBSCAN and rule-based mode inference,safety22,safety_net,,,,22,98,1,0.98,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety21,safety_net,,,,21,98,1,0.968560305152434,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety24,safety_net,,,,24,98,1,0.98,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety2,safety_net,,,,2,93.6429916820528,2,0.918910903165813,0.931056133806139,21.750464083669
mobility,semi live processing,DBSCAN and rule-based mode inference,safety14,safety_net,,,,14,97.2009691314591,1,0.977093002964518,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety11,safety_net,,,,11,95.8348377140852,1,0.942713539787806,0.971532107353344,19.9376797403545
mobility,semi live processing,DBSCAN and rule-based mode inference,safety19,safety_net,,,,19,98,1,0.98,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety10,safety_net,,,,10,96.2771469159274,1,0.941211100462349,0.99,19.7667184893837
mobility,semi live processing,DBSCAN and rule-based mode inference,safety23,safety_net,,,,23,98,1,0.98,0.99,19
mobility,semi live processing,DBSCAN and rule-based mode inference,safety7,safety_net,,,,7,94.8675262467771,1,0.945302243963271,0.970168438254858,21.0273035290847
