dataset,domain,intent,method,algorithm,model,load time,inference time,detection,detection efficiency,iou_threshold,robustness,feedback
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_11,1.339,10.999,3,0.5,0.5,0.373,2
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_12,1.273,4.525,1,0.167,0.5,0.149,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_13,0.891,5.304,3,0.5,0.5,0.364,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_14,1.115,3.419,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_15,1.203,7.558,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_16,1.431,5.065,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_17,0.942,6.818,1,0.167,0.5,0.122,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_18,1.143,3.764,3,0.5,0.5,0.335,3
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_19,1.106,3.345,1,0.167,0.5,0.166,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_20,1.254,9.092,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_21,0.763,6.166,2,0.333,0.5,0.237,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_22,1.485,8.138,3,0.5,0.5,0.359,3
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_23,0.563,5.008,1,0.167,0.5,0.167,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_24,0.743,2.831,2,0.333,0.5,0.328,2
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_25,1.475,10.58,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_26,1.876,11,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_27,1.666,11,3,0.5,0.5,0.39,3
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_28,0.617,3.96,3,0.5,0.5,0.326,2
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_29,1.01,3.652,2,0.333,0.5,0.294,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_30,1.429,5.721,1,0.167,0.5,0.136,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_31,1.123,6.133,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_32,1.638,8.232,2,0.333,0.5,0.259,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_33,0.772,2.769,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_34,0.782,3.323,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_35,1.69,5.895,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_36,1.759,7.449,1,0.167,0.5,0.152,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_37,1.593,9.332,1,0.167,0.5,0.165,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_38,1.126,7.463,3,0.5,0.5,0.346,3
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_39,1.116,8.13,3,0.5,0.5,0.355,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_40,1.271,7.419,2,0.333,0.5,0.234,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_41,0.595,3.898,1,0.167,0.5,0.147,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_42,1.232,8.01,2,0.333,0.5,0.271,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_43,1.628,5.889,2,0.333,0.5,0.254,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_44,1.356,4.142,3,0.5,0.5,0.35,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_45,1.455,8.116,1,0.167,0.5,0.122,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_46,1.118,9.176,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_47,1.522,11,3,0.5,0.5,0.324,3
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_48,1.879,8.182,2,0.333,0.5,0.319,3
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_49,1.125,9.687,3,0.5,0.5,0.343,2
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_50,1.907,11,3,0.5,0.5,0.394,2
